question,type,columns_used,column_types,sample_answer,dataset,float_answer,answer_coords
What is the most common ST slope among patients with heart disease? Use the ST_Slope and  HeartDisease columns to give a categorical answer. Use the ST_Slope and  HeartDisease columns to give a categorical answer. Use the ST_Slope and  HeartDisease columns to give a categorical answer. Use the ST_Slope and  HeartDisease columns to give a categorical answer. Use the ST_Slope and  HeartDisease columns to give a categorical answer. Use the ST_Slope and  HeartDisease columns to give a categorical answer.,category,"['ST_Slope', 'HeartDisease']","['category', 'number[uint8]']",Flat,012_Heart.csv,,"[(1, 4)]"
What is the least common chest pain type among male patients? Use the ChestPainType and  Sex columns to give a categorical answer. Use the ChestPainType and  Sex columns to give a categorical answer. Use the ChestPainType and  Sex columns to give a categorical answer. Use the ChestPainType and  Sex columns to give a categorical answer. Use the ChestPainType and  Sex columns to give a categorical answer. Use the ChestPainType and  Sex columns to give a categorical answer.,category,"['ChestPainType', 'Sex']","['category', 'category']",TA,012_Heart.csv,,"[(8, 6)]"
What is the maximum speed (in mph) for roller coasters in the dataset? Use the speed_mph columns to give a numerical answer. Use the speed_mph columns to give a numerical answer. Use the speed_mph columns to give a numerical answer. Use the speed_mph columns to give a numerical answer. Use the speed_mph columns to give a numerical answer. Use the speed_mph columns to give a numerical answer.,number,[speed_mph],['number[double]'],62.0,013_Roller.csv,62.0,"[(12, 8)]"
What is the average G-force across all roller coasters in the dataset? Use the Gforce_clean columns to give a numerical answer. Use the Gforce_clean columns to give a numerical answer. Use the Gforce_clean columns to give a numerical answer. Use the Gforce_clean columns to give a numerical answer. Use the Gforce_clean columns to give a numerical answer. Use the Gforce_clean columns to give a numerical answer.,number,[Gforce_clean],['number[double]'],3.62,013_Roller.csv,3.62,"[(3, 5), (4, 5), (9, 5), (10, 5), (11, 5)]"
Which manufacturer has built the fastest roller coaster? Use the Manufacturer and  speed_mph columns to give a categorical answer. Use the Manufacturer and  speed_mph columns to give a categorical answer. Use the Manufacturer and  speed_mph columns to give a categorical answer. Use the Manufacturer and  speed_mph columns to give a categorical answer. Use the Manufacturer and  speed_mph columns to give a categorical answer. Use the Manufacturer and  speed_mph columns to give a categorical answer.,category,"[Manufacturer, speed_mph]","['category', 'number[double]']",Bolliger & Mabillard,013_Roller.csv,,"[(12, 3)]"
What type of the roller coaster is the oldest in the dataset? Use the Type and  Opening date columns to give a categorical answer. Use the Type and  Opening date columns to give a categorical answer. Use the Type and  Opening date columns to give a categorical answer. Use the Type and  Opening date columns to give a categorical answer. Use the Type and  Opening date columns to give a categorical answer. Use the Type and  Opening date columns to give a categorical answer.,category,"[Type, Opening date]","['category', 'category']",Other,013_Roller.csv,,"[(1, 6)]"
What is the location of the roller coaster with the highest number of inversions? Use the Location and  Inversions_clean columns to give a categorical answer. Use the Location and  Inversions_clean columns to give a categorical answer. Use the Location and  Inversions_clean columns to give a categorical answer. Use the Location and  Inversions_clean columns to give a categorical answer. Use the Location and  Inversions_clean columns to give a categorical answer. Use the Location and  Inversions_clean columns to give a categorical answer.,category,"[Location, Inversions_clean]","['category', 'number[uint8]']",Busch Gardens Tampa Bay,013_Roller.csv,,"[(15, 10)]"
How many unique food groups are there in the dataset? Use the GROUP columns to give a numerical answer. Use the GROUP columns to give a numerical answer. Use the GROUP columns to give a numerical answer. Use the GROUP columns to give a numerical answer. Use the GROUP columns to give a numerical answer. Use the GROUP columns to give a numerical answer.,number,['GROUP'],['category'],8,015_Food.csv,8.0,"[(0, 2), (1, 2), (2, 2), (3, 2), (7, 2), (8, 2), (9, 2), (18, 2)]"
How many unique sub groups are there in the dataset? Use the SUB GROUP columns to give a numerical answer. Use the SUB GROUP columns to give a numerical answer. Use the SUB GROUP columns to give a numerical answer. Use the SUB GROUP columns to give a numerical answer. Use the SUB GROUP columns to give a numerical answer. Use the SUB GROUP columns to give a numerical answer.,number,['SUB GROUP'],['category'],14,015_Food.csv,14.0,"[(0, 3), (1, 3), (2, 3), (3, 3), (5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (12, 3), (15, 3), (17, 3), (18, 3), (19, 3)]"
How many unique food items are there in the dataset? Use the FOOD NAME columns to give a numerical answer. Use the FOOD NAME columns to give a numerical answer. Use the FOOD NAME columns to give a numerical answer. Use the FOOD NAME columns to give a numerical answer. Use the FOOD NAME columns to give a numerical answer. Use the FOOD NAME columns to give a numerical answer.,number,['FOOD NAME'],['category'],20,015_Food.csv,20.0,"[(1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (15, 0), (16, 0), (17, 0), (18, 0), (19, 0), (0, 0)]"
What is the scientific name of the food named 'Colorado pinyon'? Use the FOOD NAME and  SCIENTIFIC NAME columns to give a categorical answer. Use the FOOD NAME and  SCIENTIFIC NAME columns to give a categorical answer. Use the FOOD NAME and  SCIENTIFIC NAME columns to give a categorical answer. Use the FOOD NAME and  SCIENTIFIC NAME columns to give a categorical answer. Use the FOOD NAME and  SCIENTIFIC NAME columns to give a categorical answer. Use the FOOD NAME and  SCIENTIFIC NAME columns to give a categorical answer.,category,"['FOOD NAME', 'SCIENTIFIC NAME']","['category', 'category']",Pinus edulis,015_Food.csv,,"[(1, 1)]"
How many unique occupations are there in the dataset? Use the Occupation columns to give a numerical answer. Use the Occupation columns to give a numerical answer. Use the Occupation columns to give a numerical answer. Use the Occupation columns to give a numerical answer. Use the Occupation columns to give a numerical answer. Use the Occupation columns to give a numerical answer.,number,['Occupation'],['category'],3,016_Holiday.csv,3.0,"[(0, 6), (4, 6), (5, 6)]"
How many unique designations are there in the dataset? Use the Designation columns to give a numerical answer. Use the Designation columns to give a numerical answer. Use the Designation columns to give a numerical answer. Use the Designation columns to give a numerical answer. Use the Designation columns to give a numerical answer. Use the Designation columns to give a numerical answer.,number,['Designation'],['category'],4,016_Holiday.csv,4.0,"[(0, 18), (4, 18), (5, 18), (10, 18)]"
How many unique marital statuses are there in the dataset? Use the MaritalStatus columns to give a numerical answer. Use the MaritalStatus columns to give a numerical answer. Use the MaritalStatus columns to give a numerical answer. Use the MaritalStatus columns to give a numerical answer. Use the MaritalStatus columns to give a numerical answer. Use the MaritalStatus columns to give a numerical answer.,number,['MaritalStatus'],['category'],4,016_Holiday.csv,4.0,"[(0, 12), (3, 12), (9, 12), (10, 12)]"
How many entries were posted in the morning? Use the partofday columns to give a numerical answer. Use the partofday columns to give a numerical answer. Use the partofday columns to give a numerical answer. Use the partofday columns to give a numerical answer. Use the partofday columns to give a numerical answer. Use the partofday columns to give a numerical answer.,number,['partofday'],['category'],1,017_Hacker.csv,1.0,"[(3, 3)]"
What's the highest score received by an entry? Use the score columns to give a numerical answer. Use the score columns to give a numerical answer. Use the score columns to give a numerical answer. Use the score columns to give a numerical answer. Use the score columns to give a numerical answer. Use the score columns to give a numerical answer.,number,['score'],['number[uint16]'],2517,017_Hacker.csv,2517.0,"[(12, 2)]"
"On average, how many descendants does an entry have? Use the descendants columns to give a numerical answer. Use the descendants columns to give a numerical answer. Use the descendants columns to give a numerical answer. Use the descendants columns to give a numerical answer. Use the descendants columns to give a numerical answer. Use the descendants columns to give a numerical answer.",number,['descendants'],['number[UInt16]'],558.0,017_Hacker.csv,558.0,"[(0, 8), (1, 8), (2, 8), (3, 8), (4, 8), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (15, 8), (16, 8), (17, 8), (18, 8), (19, 8)]"
How many entries are in the Autumn season? Use the season columns to give a numerical answer. Use the season columns to give a numerical answer. Use the season columns to give a numerical answer. Use the season columns to give a numerical answer. Use the season columns to give a numerical answer. Use the season columns to give a numerical answer.,number,['season'],['category'],8,017_Hacker.csv,8.0,"[(0, 9), (2, 9), (4, 9), (11, 9), (14, 9), (15, 9), (16, 9), (18, 9)]"
Which day of the week has the most entries? Use the weekday_name columns to give a categorical answer. Use the weekday_name columns to give a categorical answer. Use the weekday_name columns to give a categorical answer. Use the weekday_name columns to give a categorical answer. Use the weekday_name columns to give a categorical answer. Use the weekday_name columns to give a categorical answer.,category,['weekday_name'],['category'],Wednesday,017_Hacker.csv,,"[(1, 6)]"
What is the predominant language used in titles? Use the title_gx_lang columns to give a categorical answer. Use the title_gx_lang columns to give a categorical answer. Use the title_gx_lang columns to give a categorical answer. Use the title_gx_lang columns to give a categorical answer. Use the title_gx_lang columns to give a categorical answer. Use the title_gx_lang columns to give a categorical answer.,category,['title_gx_lang'],['category'],en,017_Hacker.csv,,"[(0, 5), (1, 5), (2, 5), (3, 5), (5, 5), (6, 5), (7, 5), (8, 5), (9, 5), (10, 5), (11, 5), (13, 5), (14, 5), (16, 5), (17, 5), (18, 5), (19, 5)]"
In which season was the entry with the highest score posted? Use the score and  season columns to give a categorical answer. Use the score and  season columns to give a categorical answer. Use the score and  season columns to give a categorical answer. Use the score and  season columns to give a categorical answer. Use the score and  season columns to give a categorical answer. Use the score and  season columns to give a categorical answer.,category,"['score', 'season']","['number[uint16]', 'category']",Summer,017_Hacker.csv,,"[(12, 9)]"
On which part of the day are most entries posted? Use the partofday columns to give a categorical answer. Use the partofday columns to give a categorical answer. Use the partofday columns to give a categorical answer. Use the partofday columns to give a categorical answer. Use the partofday columns to give a categorical answer. Use the partofday columns to give a categorical answer.,category,['partofday'],['category'],afternoon,017_Hacker.csv,,"[(0, 3), (2, 3), (4, 3), (5, 3), (8, 3), (9, 3), (10, 3), (11, 3), (12, 3), (13, 3), (14, 3), (15, 3), (16, 3)]"
How many unique departments are there? Use the Department columns to give a numerical answer. Use the Department columns to give a numerical answer. Use the Department columns to give a numerical answer. Use the Department columns to give a numerical answer. Use the Department columns to give a numerical answer. Use the Department columns to give a numerical answer.,number,[Department],['category'],9,018_Staff.csv,9.0,"[(0, 1), (1, 1), (2, 1), (3, 1), (5, 1), (9, 1), (11, 1), (12, 1), (18, 1)]"
What's the maximum number of years an employee has been in the company? Use the Years in the Company columns to give a numerical answer. Use the Years in the Company columns to give a numerical answer. Use the Years in the Company columns to give a numerical answer. Use the Years in the Company columns to give a numerical answer. Use the Years in the Company columns to give a numerical answer. Use the Years in the Company columns to give a numerical answer.,number,[Years in the Company],['number[uint8]'],6,018_Staff.csv,6.0,"[(9, 6)]"
"On average, how many hours do employees work monthly? Use the Average Monthly Hours columns to give a numerical answer. Use the Average Monthly Hours columns to give a numerical answer. Use the Average Monthly Hours columns to give a numerical answer. Use the Average Monthly Hours columns to give a numerical answer. Use the Average Monthly Hours columns to give a numerical answer. Use the Average Monthly Hours columns to give a numerical answer.",number,[Average Monthly Hours],['number[uint16]'],188.15,018_Staff.csv,188.15,"[(0, 8), (1, 8), (2, 8), (3, 8), (4, 8), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (15, 8), (16, 8), (17, 8), (18, 8), (19, 8)]"
Which department has the highest number of employees? Use the Department columns to give a categorical answer. Use the Department columns to give a categorical answer. Use the Department columns to give a categorical answer. Use the Department columns to give a categorical answer. Use the Department columns to give a categorical answer. Use the Department columns to give a categorical answer.,category,[Department],['category'],support,018_Staff.csv,,"[(0, 1)]"
What's the most common salary level among employees? Use the salary columns to give a categorical answer. Use the salary columns to give a categorical answer. Use the salary columns to give a categorical answer. Use the salary columns to give a categorical answer. Use the salary columns to give a categorical answer. Use the salary columns to give a categorical answer.,category,[salary],['category'],low,018_Staff.csv,,"[(1, 7)]"
Which year had the highest number of employees hired? Use the Date Hired columns to give a categorical answer. Use the Date Hired columns to give a categorical answer. Use the Date Hired columns to give a categorical answer. Use the Date Hired columns to give a categorical answer. Use the Date Hired columns to give a categorical answer. Use the Date Hired columns to give a categorical answer.,category,[Date Hired],"['date[ns, UTC]']",2017,018_Staff.csv,2017.0,"[(1, 10)]"
How many unique aircraft models are in the dataset? Use the Aircaft_Model columns to give a numerical answer. Use the Aircaft_Model columns to give a numerical answer. Use the Aircaft_Model columns to give a numerical answer. Use the Aircaft_Model columns to give a numerical answer. Use the Aircaft_Model columns to give a numerical answer. Use the Aircaft_Model columns to give a numerical answer.,number,['Aircaft_Model'],['category'],20,019_Aircraft.csv,20.0,"[(0, 4), (1, 4), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (13, 4), (14, 4), (15, 4), (16, 4), (17, 4), (18, 4), (19, 4)]"
What's the highest number of occupants recorded in an incident? Use the Onboard_Total columns to give a numerical answer. Use the Onboard_Total columns to give a numerical answer. Use the Onboard_Total columns to give a numerical answer. Use the Onboard_Total columns to give a numerical answer. Use the Onboard_Total columns to give a numerical answer. Use the Onboard_Total columns to give a numerical answer.,number,['Onboard_Total'],['category'],86,019_Aircraft.csv,86.0,"[(16, 3)]"
How many incidents resulted in non-zero fatalities? Use the Fatalities columns to give a numerical answer. Use the Fatalities columns to give a numerical answer. Use the Fatalities columns to give a numerical answer. Use the Fatalities columns to give a numerical answer. Use the Fatalities columns to give a numerical answer. Use the Fatalities columns to give a numerical answer.,number,['Fatalities'],['number[uint16]'],10,019_Aircraft.csv,10.0,"[(0, 8), (1, 8), (9, 8), (10, 8), (11, 8), (12, 8), (17, 8), (18, 8), (19, 8)]"
Which aircraft model was involved in the most incidents? Use the Aircaft_Model columns to give a categorical answer. Use the Aircaft_Model columns to give a categorical answer. Use the Aircaft_Model columns to give a categorical answer. Use the Aircaft_Model columns to give a categorical answer. Use the Aircaft_Model columns to give a categorical answer. Use the Aircaft_Model columns to give a categorical answer.,category,['Aircaft_Model'],['category'],Antonov An-2V,019_Aircraft.csv,,"[(0, 4)]"
What was the cause of the incident that resulted in the most fatalities? Use the Incident_Cause(es) and  Fatalities columns to give a categorical answer. Use the Incident_Cause(es) and  Fatalities columns to give a categorical answer. Use the Incident_Cause(es) and  Fatalities columns to give a categorical answer. Use the Incident_Cause(es) and  Fatalities columns to give a categorical answer. Use the Incident_Cause(es) and  Fatalities columns to give a categorical answer. Use the Incident_Cause(es) and  Fatalities columns to give a categorical answer.,category,"['Incident_Cause(es)', 'Fatalities']","['category', 'number[uint16]']","Result - Loss of control, Security - Sabotage (bomb)",019_Aircraft.csv,,"[(9, 11)]"
What is the most common phase of aircraft during incidents? Use the Aircraft_Phase columns to give a categorical answer. Use the Aircraft_Phase columns to give a categorical answer. Use the Aircraft_Phase columns to give a categorical answer. Use the Aircraft_Phase columns to give a categorical answer. Use the Aircraft_Phase columns to give a categorical answer. Use the Aircraft_Phase columns to give a categorical answer.,category,['Aircraft_Phase'],['category'],Landing (LDG),019_Aircraft.csv,,"[(3, 6)]"
What is the location of the incident with the highest number of onboard occupants? Use the Incident_Location and  Onboard_Total columns to give a categorical answer. Use the Incident_Location and  Onboard_Total columns to give a categorical answer. Use the Incident_Location and  Onboard_Total columns to give a categorical answer. Use the Incident_Location and  Onboard_Total columns to give a categorical answer. Use the Incident_Location and  Onboard_Total columns to give a categorical answer. Use the Incident_Location and  Onboard_Total columns to give a categorical answer.,category,"['Incident_Location', 'Onboard_Total']","['category', 'category']",Sioux Falls ...,019_Aircraft.csv,,"[(16, 0)]"
